tick,L,b,e_flux,v_coupling,total_q,total_sq,reaction_l1
1134,32,1,462926,143.523,-408,27914,3582
1134,32,2,186258,95.4865,-408,90614,2054
1134,32,4,96923.5,20.9252,-408,527570,800
1135,32,1,464128,224.614,-353,27955,3435
1135,32,2,186711,217.404,-353,90511,2051
1135,32,4,97107.5,212.732,-353,527695,883
1136,32,1,464777,49.1276,-314,27924,3557
1136,32,2,186269,31.6953,-314,90308,2077
1136,32,4,96430.1,28.7828,-314,529418,855
1137,32,1,464804,169.959,-313,27703,3483
1137,32,2,186358,45.5532,-313,90293,2065
1137,32,4,96717.7,21.6485,-313,526853,793
1138,32,1,463473,223.953,-371,27665,3594
1138,32,2,185736,147.217,-371,89885,2150
1138,32,4,95897.7,64.8567,-371,525783,888
1139,32,1,466195,34.0473,-408,27710,3461
1139,32,2,186152,114.948,-408,90380,2065
1139,32,4,96186,129.929,-408,531138,785
1140,32,1,466796,6.80535,-420,27698,3602
1140,32,2,185846,84.7547,-420,90164,2156
1140,32,4,95807,-2.05,-420,529304,826
1141,32,1,467314,179.674,-441,27737,3511
1141,32,2,185810,-5.56105,-441,90699,2131
1141,32,4,96124.8,-24.7003,-441,532907,855
1142,32,1,466458,89.0784,-455,27863,3536
1142,32,2,186009,53.8707,-455,91279,2090
1142,32,4,96319.2,18.7742,-455,533563,792
1143,32,1,466564,127.073,-394,27910,3589
1143,32,2,185443,-33.2532,-394,91726,2123
1143,32,4,95982.7,2.30865,-394,537552,853
1144,32,1,467272,154.416,-377,27865,3595
1144,32,2,184711,138.795,-377,91871,2097
1144,32,4,96094.9,148.005,-377,535799,855
1145,32,1,463461,192.4,-322,27812,3431
1145,32,2,184277,59.3598,-322,91856,2025
1145,32,4,95614.3,67.9812,-322,533782,813
1146,32,1,461760,70.6961,-326,27690,3604
1146,32,2,183985,33.892,-326,91556,2122
1146,32,4,95651.8,-55.6168,-326,530732,838
1147,32,1,463056,161.652,-297,27755,3501
1147,32,2,184303,127.022,-297,91315,2079
1147,32,4,96340,138.365,-297,529897,821
