k,d,l,m,A_N,R_N,lambda_max,log_psi,hits_1e-03,hits_1e-04,hits_1e-05,hits_1e-06,alpha_inv_rel_residual
2,5,3,7,7.2753060797491964e-5,1.000128548981847434336968,137.035774215923952182631,-1.7391216107605163e-5,1,1,1,0,1.640941632e-6
2,5,3,8,7.271214210444481e-5,1.000128508063154387183539,137.0357743424534517060505,-1.7384703695405465e-5,1,1,1,0,1.640018302e-6
2,5,4,2,7.3039287879983553e-5,1.000128835208929925926224,137.0357733308475464098883,-1.7436778669889623e-5,1,1,1,0,1.647400347e-6
2,5,4,3,7.303918599556431e-5,1.000128835107045506683851,137.0357733311625952005117,-1.7436766508332914e-5,1,1,1,0,1.647398048e-6
2,5,4,4,7.3039084111145068e-5,1.000128835005161087441478,137.0357733314776439911336,-1.7436754346776204e-5,1,1,1,0,1.647395749e-6
2,5,4,5,7.3038982226725826e-5,1.000128834903276668199105,137.035773331792692781754,-1.7436742185219495e-5,1,1,1,0,1.64739345e-6
2,5,4,6,7.3038880342306583e-5,1.000128834801392248956732,137.0357733321077415723729,-1.7436730023662785e-5,1,1,1,0,1.647391151e-6
2,5,4,7,7.3038778457887341e-5,1.000128834699507829714359,137.0357733324227903629904,-1.7436717862106075e-5,1,1,1,0,1.647388852e-6
2,5,4,8,7.3038676573468099e-5,1.000128834597623410471986,137.0357733327378391536063,-1.7436705700549366e-5,1,1,1,0,1.647386553e-6
2,5,5,2,7.3039491173163742e-5,1.000128835412223106115516,137.0357733302189196675725,-1.7436802947581021e-5,1,1,1,0,1.647404934e-6
2,5,5,3,7.3039490935334594e-5,1.000128835411985276967789,137.0357733302196550870402,-1.7436802924870011e-5,1,1,1,0,1.647404929e-6
2,5,5,4,7.3039490697505447e-5,1.000128835411747447820063,137.0357733302203905065079,-1.7436802902159e-5,1,1,1,0,1.647404924e-6
2,5,5,5,7.3039490459676299e-5,1.000128835411509618672336,137.0357733302211259259756,-1.7436802879447989e-5,1,1,1,0,1.647404918e-6
2,5,5,6,7.3039490221847151e-5,1.000128835411271789524609,137.0357733302218613454433,-1.7436802856736979e-5,1,1,1,0,1.647404913e-6
2,5,5,7,7.3039489984018003e-5,1.000128835411033960376882,137.035773330222596764911,-1.7436802834025968e-5,1,1,1,0,1.647404908e-6
2,5,5,8,7.3039489746188856e-5,1.000128835410796131229155,137.0357733302233321843788,-1.7436802811314957e-5,1,1,1,0,1.647404902e-6
2,5,6,2,7.303949164775612e-5,1.000128835412697698493418,137.035773330217452124686,-1.743680299291822e-5,1,1,1,0,1.647404945e-6
2,5,6,3,7.3039491647223161e-5,1.000128835412697165534642,137.0357733302174537727105,-1.7436802992875808e-5,1,1,1,0,1.647404945e-6
2,5,6,4,7.3039491646690202e-5,1.000128835412696632575866,137.035773330217455420735,-1.7436802992833397e-5,1,1,1,0,1.647404945e-6
2,5,6,5,7.3039491646157244e-5,1.00012883541269609961709,137.0357733302174570687595,-1.7436802992790985e-5,1,1,1,0,1.647404945e-6
2,5,6,6,7.3039491645624285e-5,1.000128835412695566658314,137.035773330217458716784,-1.7436802992748574e-5,1,1,1,0,1.647404945e-6
2,5,6,7,7.3039491645091326e-5,1.000128835412695033699538,137.0357733302174603648085,-1.7436802992706162e-5,1,1,1,0,1.647404945e-6
2,5,6,8,7.3039491644558367e-5,1.000128835412694500740762,137.035773330217462012833,-1.7436802992663751e-5,1,1,1,0,1.647404945e-6
2,5,7,2,7.3039491648819715e-5,1.000128835412698762088674,137.0357733302174488358181,-1.7436802993002884e-5,1,1,1,0,1.647404945e-6
2,5,7,3,7.3039491648818554e-5,1.000128835412698760927525,137.0357733302174488394086,-1.7436802993002805e-5,1,1,1,0,1.647404945e-6
2,5,7,4,7.3039491648817393e-5,1.000128835412698759766377,137.0357733302174488429992,-1.7436802993002726e-5,1,1,1,0,1.647404945e-6
2,5,7,5,7.3039491648816232e-5,1.000128835412698758605229,137.0357733302174488465897,-1.7436802993002647e-5,1,1,1,0,1.647404945e-6
2,5,7,6,7.3039491648815071e-5,1.00012883541269875744408,137.0357733302174488501802,-1.7436802993002568e-5,1,1,1,0,1.647404945e-6
2,5,7,7,7.3039491648813909e-5,1.000128835412698756282932,137.0357733302174488537707,-1.7436802993002488e-5,1,1,1,0,1.647404945e-6
2,5,7,8,7.3039491648812748e-5,1.000128835412698755121784,137.0357733302174488573613,-1.7436802993002409e-5,1,1,1,0,1.647404945e-6
2,5,8,2,7.3039491648822033e-5,1.000128835412698764406014,137.0357733302174488286524,-1.7436802993003042e-5,1,1,1,0,1.647404945e-6
2,5,8,3,7.303949164882203e-5,1.000128835412698764403536,137.0357733302174488286601,-1.7436802993003042e-5,1,1,1,0,1.647404945e-6
2,5,8,4,7.3039491648822028e-5,1.000128835412698764401058,137.0357733302174488286677,-1.7436802993003042e-5,1,1,1,0,1.647404945e-6
