x,z,density,Jx,Jy,Jz,state
23,15,1.38278661e-02,-1.09369099e-02,3.16960490e-03,-7.84522062e-03,0
23,16,1.68563676e-02,1.40732788e-02,9.26416287e-03,-5.05213026e-04,0
23,17,1.45328621e-02,-1.11005973e-02,2.98102764e-03,8.89349735e-03,0
23,18,3.29290869e-02,1.66331345e-02,-2.15047382e-03,2.83379438e-02,0
23,19,3.22127219e-02,2.35972509e-02,-1.07760260e-02,1.90972895e-02,0
23,20,1.56082716e-02,-1.37748766e-02,-2.07234280e-04,7.33675473e-03,0
23,21,5.69319702e-03,4.50518620e-03,2.30040554e-04,3.47316441e-03,0
23,22,2.79093649e-02,2.91397374e-03,2.54200489e-03,-2.76401812e-02,0
23,23,1.24420043e-02,-1.72702649e-04,4.94805764e-03,-1.14144807e-02,0
23,24,3.01696458e-02,2.22982445e-02,6.34087023e-04,-2.03124039e-02,0
23,25,2.23506839e-02,1.75878046e-02,-2.11089031e-03,-1.36296128e-02,0
23,26,9.22785754e-03,7.23231737e-03,-3.73202776e-03,-4.34958723e-03,0
23,27,1.78309803e-02,1.64089176e-02,8.42084005e-04,6.92691678e-03,0
23,28,2.05520286e-02,1.96991063e-02,5.47529100e-03,2.08621130e-03,0
23,29,6.38311271e-03,4.51264237e-03,2.59322746e-03,3.69531569e-03,0
23,30,1.81557696e-02,-1.02177696e-02,-9.32984056e-04,1.49786079e-02,0
23,31,2.31706450e-02,-2.29877937e-02,-1.45051111e-03,2.51717101e-03,0
24,0,2.57702812e-02,-2.57332354e-02,-1.38126646e-03,9.49802089e-06,0
24,1,7.66366183e-03,-6.08661338e-03,-9.59167280e-04,4.55684632e-03,0
24,2,4.34474771e-03,3.86493051e-03,-6.58547692e-04,-1.87228730e-03,0
24,3,5.82982175e-03,-2.26774194e-03,6.27133156e-04,-5.33393589e-03,0
24,4,1.21586065e-02,1.08193012e-02,5.06679284e-03,-2.25877061e-03,0
24,5,8.43898866e-03,6.95809859e-03,4.52025228e-03,1.53906234e-03,0
24,6,2.72021215e-02,-2.66643622e-02,-5.13309778e-03,1.61818118e-03,0
24,7,2.80819718e-02,-2.69436766e-02,-5.62110071e-03,5.57123489e-03,0
24,8,1.57319084e-02,1.54181236e-03,6.34244997e-03,1.43139472e-02,0
24,9,2.01735081e-02,-8.01227261e-03,3.17641773e-03,1.82396351e-02,0
24,10,2.56533324e-02,-1.73222040e-02,-9.40531523e-03,1.64187319e-02,0
24,11,1.35523857e-02,5.93058217e-04,-2.63355546e-03,1.32808067e-02,0
24,12,1.74800335e-02,1.66222470e-02,5.31726419e-03,-9.89532907e-04,0
24,13,2.23969203e-02,-2.18054755e-02,8.66726439e-04,5.03905365e-03,0
24,14,3.29499320e-02,-3.05304462e-02,-2.53689670e-03,-1.21307062e-02,0
24,15,1.48093868e-02,1.34933477e-02,-5.92779040e-03,1.45217294e-03,0
24,16,7.71699211e-02,5.97724925e-02,4.86987707e-02,-3.29781517e-03,0
24,17,1.39955853e-02,1.32082444e-02,-2.57921972e-03,-3.84269610e-03,0
24,18,3.26327059e-02,-3.03667172e-02,-2.67572137e-03,1.16445907e-02,0
24,19,2.23144258e-02,-2.16697022e-02,8.66394171e-04,-5.25423332e-03,0
24,20,1.74380463e-02,1.63296448e-02,6.01427078e-03,1.12103014e-03,0
24,21,1.34638189e-02,5.16322329e-04,-2.04192513e-03,-1.32980590e-02,0
24,22,2.56229110e-02,-1.71050775e-02,-9.58186522e-03,-1.64965981e-02,0
24,23,2.00769227e-02,-8.19430529e-03,2.91976739e-03,-1.80945059e-02,0
24,24,1.56261687e-02,1.35341244e-03,6.38014938e-03,-1.41999689e-02,0
24,25,2.79907474e-02,-2.68355953e-02,-5.66622911e-03,-5.58807778e-03,0
24,26,2.71467822e-02,-2.65903052e-02,-5.21788568e-03,-1.63619082e-03,0
24,27,8.27922596e-03,6.88072298e-03,4.35999685e-03,-1.48042601e-03,0
24,28,1.20429018e-02,1.07976534e-02,4.82401155e-03,2.27400033e-03,0
24,29,5.78623501e-03,-2.23178477e-03,6.12597131e-04,5.30324213e-03,0
24,30,4.31230731e-03,3.85340794e-03,-5.04182543e-04,1.86896804e-03,0
24,31,7.66489057e-03,-6.10623881e-03,-9.23492187e-04,-4.53999529e-03,0
25,0,2.09806285e-02,-2.09756045e-02,-4.58988896e-04,-1.09076471e-05,0
25,1,2.90192005e-03,-2.47014999e-03,-7.35779787e-04,1.33346432e-03,0
25,2,1.18518567e-02,9.14658017e-03,-9.36057730e-04,7.47866124e-03,0
25,3,6.23113062e-03,1.49354166e-03,6.22615966e-04,6.01736416e-03,0
25,4,6.15819695e-03,-5.37440555e-03,1.13441467e-03,-2.78428771e-03,0
25,5,1.71742889e-02,-1.70412339e-02,1.79303118e-03,-1.15654045e-03,0
25,6,3.51095221e-02,-3.50280570e-02,2.31726754e-03,-5.86547688e-04,0
25,7,4.50998905e-02,-4.37144953e-02,-7.87327528e-03,-7.81374188e-03,0
25,8,3.58038819e-02,-3.52817430e-02,-4.11110666e-03,4.49615086e-03,0
25,9,4.08777652e-02,-3.54452844e-02,1.50392485e-02,1.37275090e-02,0
25,10,2.22189830e-02,-1.49124880e-02,3.24955579e-03,1.61474857e-02,0
25,11,1.35517410e-02,-4.88635524e-04,-1.34808817e-02,1.29489357e-03,0
25,12,1.54767997e-02,-1.52580497e-02,-2.51126026e-03,-6.45616021e-04,0
25,13,2.80213028e-02,-2.09972411e-02,-5.02825001e-03,1.78612984e-02,0
25,14,4.08020365e-02,-3.86831306e-02,-2.22696615e-03,-1.27852343e-02,0
25,15,6.36908596e-02,-6.10937472e-02,7.01893949e-03,-1.65775191e-02,0
25,16,9.08299043e-03,-7.71150891e-03,-4.75015755e-03,-6.85090354e-04,0
25,17,6.36678238e-02,-6.10440336e-02,6.47159705e-03,1.68918969e-02,0
25,18,4.07645093e-02,-3.86022912e-02,-2.84652307e-03,1.27869321e-02,0
25,19,2.80637936e-02,-2.11555439e-02,-3.88034944e-03,-1.80267125e-02,0
25,20,1.55668358e-02,-1.53888543e-02,-2.24794924e-03,6.75473090e-04,0
25,21,1.37712217e-02,-2.49498754e-04,-1.36836224e-02,-1.53061292e-03,0
25,22,2.21923433e-02,-1.49791573e-02,3.00758397e-03,-1.60959432e-02,0
25,23,4.09778191e-02,-3.57277068e-02,1.48845529e-02,-1.34596698e-02,0
25,24,3.57704672e-02,-3.52285227e-02,-4.29717956e-03,-4.47345032e-03,0
25,25,4.49452443e-02,-4.35609104e-02,-7.92307430e-03,7.72961564e-03,0
25,26,3.51522343e-02,-3.50725762e-02,2.28141095e-03,6.23805395e-04,0
25,27,1.72220779e-02,-1.71108343e-02,1.52797397e-03,1.21844756e-03,0
25,28,6.08372099e-03,-5.32557892e-03,9.34031232e-04,2.78880906e-03,0
25,29,6.23513596e-03,1.51404455e-03,7.16232353e-04,-6.00596377e-03,0
25,30,1.18009669e-02,9.10940468e-03,-8.50972609e-04,-7.45368443e-03,0
25,31,2.93112581e-03,-2.47665183e-03,-8.19130503e-04,-1.33668225e-03,0
26,0,5.82624576e-03,-5.75843730e-03,-8.86306333e-04,-7.81181953e-07,0
26,1,8.73061974e-03,5.97498583e-03,-1.27968649e-03,-6.23583738e-03,0
26,2,9.51119132e-03,8.26311296e-03,-1.84961341e-03,-4.33158802e-03,0
26,3,1.50845803e-03,1.35635343e-03,-2.98866312e-04,-5.88582975e-04,0
26,4,6.32834051e-03,-3.27244799e-03,1.34521536e-03,-5.24684414e-03,0
26,5,3.19832591e-02,-3.06643044e-02,-3.36975446e-04,-9.08381769e-03,0
26,6,6.23086082e-02,-6.22909637e-02,1.26787529e-03,7.68753574e-04,0
26,7,7.60238489e-02,-7.38650306e-02,1.66693746e-03,-1.79110070e-02,0
26,8,7.01043450e-02,-6.93385247e-02,-4.88275850e-03,-9.10751616e-03,0
26,9,6.24412450e-02,-6.08801924e-02,7.34808439e-04,1.38553712e-02,0
26,10,3.95137630e-02,-3.62053951e-02,1.53664445e-02,3.79199325e-03,0
26,11,1.49964546e-02,-1.82134569e-03,4.25444354e-03,1.42645035e-02,0
26,12,1.40519931e-02,-7.69262480e-03,-9.95636111e-03,6.25722838e-03,0
26,13,4.22897305e-02,-3.67811731e-02,-1.55324839e-05,2.08702270e-02,0
26,14,4.58283540e-02,-3.31585621e-02,-2.07752749e-02,2.38565662e-02,0
26,15,3.24476754e-02,-3.18032747e-02,-4.62720035e-03,-4.47128301e-03,0
26,16,4.50620765e-02,-4.33494041e-02,-1.23047725e-02,-1.11695887e-04,0
26,17,3.24524813e-02,-3.17567997e-02,-5.05213623e-03,4.37551536e-03,0
26,18,4.57224337e-02,-3.31998702e-02,-1.98675764e-02,-2.43636813e-02,0
26,19,4.24233158e-02,-3.68674973e-02,3.47207169e-04,-2.09858242e-02,0
26,20,1.41222202e-02,-7.64134926e-03,-9.97166137e-03,-6.45080266e-03,0
26,21,1.50274032e-02,-1.87364744e-03,4.30373430e-03,-1.42755093e-02,0
26,22,3.96252146e-02,-3.64745576e-02,1.50971520e-02,-3.44097090e-03,0
26,23,6.24922578e-02,-6.09606288e-02,6.51540448e-04,-1.37353383e-02,0
26,24,6.99446029e-02,-6.91876936e-02,-4.92125767e-03,9.00509538e-03,0
26,25,7.59368552e-02,-7.37856570e-02,1.50000204e-03,1.78838693e-02,0
26,26,6.23662298e-02,-6.23528730e-02,1.07707128e-03,-7.11176188e-04,0
26,27,3.20364113e-02,-3.07067812e-02,-4.74375700e-04,9.12141464e-03,0
26,28,6.33398612e-03,-3.24393344e-03,1.32621050e-03,5.27611995e-03,0
26,29,1.53474015e-03,1.37025318e-03,-2.84342879e-04,6.30065608e-04,0
26,30,9.52683481e-03,8.26769422e-03,-1.88770173e-03,4.34078286e-03,0
26,31,8.75312092e-03,6.00472983e-03,-1.33433402e-03,6.22735082e-03,0
27,0,1.34573708e-02,1.29987915e-02,-3.48308539e-03,1.91131300e-05,0
27,1,2.48029407e-02,2.12902474e-02,-2.88181557e-03,-1.23938037e-02,0
27,2,2.22925064e-02,1.08229538e-02,-2.74157263e-04,-1.94870304e-02,0
27,3,1.24344235e-02,-6.72787176e-03,3.02115087e-04,-1.04527200e-02,0
27,4,1.91791106e-02,-1.91161143e-02,1.18685881e-04,-1.54866763e-03,0
27,5,5.71477667e-02,-5.68395098e-02,2.44904684e-03,5.39810422e-03,0
27,6,7.02528615e-02,-6.72419779e-02,1.11369849e-03,2.03160191e-02,0
27,7,7.43340436e-02,-7.41444255e-02,-1.79265029e-03,4.99405806e-03,0
