y,z,J_total_mag2,J_A_mag2,J_B_mag2,classification
4,63,1.15980322e-08,1.33009036e-08,1.33015871e-08,-1
5,0,5.13075653e-17,2.23354264e-11,2.22693824e-11,0
5,1,2.10195906e-08,1.99613010e-08,1.99631676e-08,-1
5,2,5.25153167e-08,2.71834639e-08,2.71841084e-08,-1
5,3,5.38883880e-08,1.43076226e-08,1.43076842e-08,-1
5,4,7.13446195e-09,1.04903382e-08,1.04902247e-08,-1
5,5,3.27858548e-09,5.14409728e-08,5.14405419e-08,-1
5,6,3.51761639e-11,1.72361918e-09,1.72361568e-09,0
5,7,4.13244910e-10,2.81384664e-08,2.81388224e-08,1
5,8,7.06299004e-10,2.29625315e-08,2.29629069e-08,1
5,9,8.79970246e-09,1.26249024e-08,1.26251199e-08,-1
5,10,2.57990472e-09,6.23438879e-09,6.23432451e-09,-1
5,11,5.33540722e-10,2.47610923e-08,2.47602358e-08,1
5,12,1.22184086e-12,3.85239119e-08,3.85254720e-08,1
5,13,6.23113829e-08,5.95736917e-08,5.95756974e-08,-1
5,14,4.41834941e-08,1.83198553e-08,1.83209334e-08,-1
5,15,1.95145173e-08,1.03551629e-08,1.03562588e-08,-1
5,16,1.84084190e-08,7.19081414e-09,7.18989354e-09,-1
5,17,1.25229046e-10,8.97112115e-09,8.96986501e-09,1
5,18,2.52627988e-09,1.07091076e-09,1.07106667e-09,-1
5,19,2.11779401e-09,6.87197361e-09,6.87265032e-09,-1
5,20,8.42524412e-10,2.77690594e-09,2.77688047e-09,-1
5,21,1.67314096e-09,1.45608000e-08,1.45598259e-08,-1
5,22,7.82102371e-09,2.52538546e-08,2.52512995e-08,-1
5,23,8.23568152e-09,1.49601268e-08,1.49578722e-08,-1
5,24,2.92089489e-10,2.82614053e-08,2.82596741e-08,1
5,25,1.04138677e-08,2.16493786e-08,2.16469013e-08,-1
5,26,5.50697545e-09,1.50894215e-08,1.50868140e-08,-1
5,27,1.77885362e-09,1.54292262e-08,1.54270427e-08,-1
5,28,1.00182593e-08,6.34110602e-09,6.33932835e-09,-1
5,29,4.80576998e-11,1.51614548e-09,1.51630918e-09,0
5,30,4.79212643e-09,3.61602906e-09,3.61712895e-09,-1
5,31,1.12947288e-09,9.44099540e-10,9.44348300e-10,-1
5,32,4.58186733e-17,4.44109148e-09,4.44115516e-09,1
5,33,1.12928726e-09,9.44153460e-10,9.44035534e-10,-1
5,34,4.79185620e-09,3.61619800e-09,3.61542746e-09,-1
5,35,4.80826700e-11,1.51613040e-09,1.51586207e-09,0
5,36,1.00183149e-08,6.34067236e-09,6.34184100e-09,-1
5,37,1.77886771e-09,1.54289356e-08,1.54307151e-08,-1
5,38,5.50726178e-09,1.50893787e-08,1.50914223e-08,-1
5,39,1.04142137e-08,2.16491398e-08,2.16517077e-08,-1
