y,z,Jx,Jy,Jz,mag,phase,state
53,54,-1.34259270e-04,-3.43641092e-05,-1.20256836e-04,1.83488828e-04,-2.89101874e+00,0
53,55,-1.36910291e-04,1.24905300e-05,3.21898015e-04,3.50026818e-04,3.05061302e+00,0
53,56,8.61446662e-05,1.26433154e-04,3.20801101e-06,1.53024630e-04,9.72700152e-01,0
53,57,8.52185888e-05,7.26625596e-05,6.14618377e-05,1.27748240e-04,7.06036833e-01,0
53,58,5.82002357e-05,-1.56383211e-04,5.94266610e-04,6.17248556e-04,-1.21451413e+00,0
53,59,1.46855683e-04,-3.25036908e-05,-1.43724297e-05,1.51094832e-04,-2.17819346e-01,0
53,60,-3.05879475e-05,3.48786728e-05,-1.22207058e-05,4.79738471e-05,2.29074744e+00,0
53,61,-1.11305262e-04,3.15714553e-05,-2.21364501e-04,2.49775620e-04,2.86520487e+00,0
53,62,-5.05816454e-05,-3.22717165e-05,-5.22176915e-05,7.95402656e-05,-2.57369079e+00,0
53,63,-3.84721626e-05,-1.25913754e-04,1.13129952e-04,1.73587922e-04,-1.86733135e+00,0
54,0,-7.95935782e-12,-2.04715115e-15,-3.92702677e-04,3.92702677e-04,-3.14133545e+00,0
54,1,1.40050935e-04,-1.97849842e-04,-2.75033215e-05,2.43957490e-04,-9.54811468e-01,0
54,2,2.29385820e-04,5.50226041e-05,4.51902605e-05,2.40182225e-04,2.35421346e-01,0
54,3,-7.96926088e-06,6.86936060e-06,-1.15057408e-04,1.15537459e-04,2.43018334e+00,0
54,4,-4.66609464e-05,6.46816343e-05,7.17200534e-05,1.07260076e-04,2.19573688e+00,0
54,5,-1.08565728e-04,-1.38572216e-04,-1.11333219e-04,2.08287931e-04,-2.23536995e+00,0
54,6,-9.09619147e-05,-6.14116712e-05,2.50923912e-04,2.73876383e-04,-2.54774950e+00,0
54,7,4.45415723e-05,1.50845317e-04,4.53767673e-04,4.80253436e-04,1.28367561e+00,0
54,8,-6.39518980e-05,-1.42334029e-04,-1.07700392e-05,1.56412323e-04,-1.99307510e+00,0
54,9,4.29106818e-05,3.52977790e-05,-4.35432087e-05,7.05922860e-05,6.88362706e-01,0
54,10,1.03961691e-04,1.85542357e-04,-2.04929088e-04,2.95347136e-04,1.06007019e+00,0
54,11,-1.00600146e-04,3.43643612e-05,-5.73976662e-05,1.20813040e-04,2.81242641e+00,0
54,12,-7.04961835e-05,-1.54592451e-05,-9.97092993e-05,1.23087954e-04,-2.92571782e+00,0
54,13,1.41304076e-04,-1.37827796e-06,8.85648435e-05,1.66770720e-04,-9.75367658e-03,0
54,14,5.52783901e-05,6.45117462e-05,4.34062017e-04,4.42297751e-04,8.62325491e-01,0
54,15,-6.22430910e-05,6.88994226e-07,-6.11925952e-05,8.72880908e-05,3.13052370e+00,0
54,16,-7.98080306e-06,-1.12510967e-04,-1.35498302e-04,1.76301448e-04,-1.64161127e+00,0
54,17,1.49723918e-05,-7.00962401e-05,3.94115353e-06,7.17857094e-05,-1.36036095e+00,0
54,18,1.26884917e-05,-7.19351037e-05,-4.12184643e-05,8.38726342e-05,-1.39620419e+00,0
54,19,-1.06420988e-04,-3.82912722e-05,-8.10823973e-05,1.39161788e-04,-2.79620581e+00,0
54,20,-7.95535018e-05,9.76455452e-05,9.06296851e-06,1.26275689e-04,2.25444695e+00,0
54,21,6.54361704e-06,6.24622237e-05,3.75222263e-05,7.31591811e-05,1.46641588e+00,0
54,22,1.07406339e-04,-6.65628300e-07,-1.55335424e-04,1.88853538e-04,-6.19721131e-03,0
54,23,1.17765290e-04,6.59106737e-05,-2.77022997e-04,3.08147077e-04,5.10243365e-01,0
54,24,4.80854499e-05,1.22219497e-04,-6.65180812e-05,1.47222522e-04,1.19596206e+00,0
54,25,1.05719517e-04,8.11953380e-05,-1.68040928e-04,2.14492547e-04,6.54938289e-01,0
54,26,1.07663441e-04,9.80641689e-05,-3.57598174e-04,3.86114558e-04,7.38771876e-01,0
54,27,5.95692333e-06,-2.79060492e-05,-3.73251001e-04,3.74340142e-04,-1.36048923e+00,0
54,28,-7.44542963e-05,-1.53563633e-04,-1.33859269e-04,2.16895218e-04,-2.02224521e+00,0
54,29,6.15444424e-05,-9.01875926e-05,-3.09125708e-04,3.27841766e-04,-9.71977114e-01,0
54,30,6.13592821e-05,-7.54648731e-07,-3.94185183e-06,6.14903992e-05,-1.22982320e-02,0
54,31,-2.15177523e-06,-2.46906811e-06,-2.93921701e-05,2.95740781e-05,-2.28763653e+00,0
54,32,1.07751711e-11,4.73383289e-10,3.26414293e-04,3.26414293e-04,1.54803821e+00,0
54,33,2.15190966e-06,2.46995714e-06,-2.93928847e-05,2.95748723e-05,8.54103493e-01,0
54,34,-6.13592803e-05,7.55584631e-07,-3.93931261e-06,6.14902461e-05,3.12927917e+00,0
54,35,-6.15443802e-05,9.01884744e-05,-3.09127617e-04,3.27843797e-04,2.16961052e+00,0
54,36,7.44542557e-05,1.53564524e-04,-1.33854684e-04,2.16893005e-04,1.11934994e+00,0
54,37,-5.95696346e-06,2.79068866e-05,-3.73253462e-04,3.74342659e-04,1.78109867e+00,0
54,38,-1.07663510e-04,-9.80633847e-05,-3.57592471e-04,3.86109096e-04,-2.40282508e+00,0
54,39,-1.05719632e-04,-8.11946228e-05,-1.68043073e-04,2.14494014e-04,-2.48665915e+00,0
54,40,-4.80855043e-05,-1.22218905e-04,-6.65124593e-05,1.47219509e-04,-1.94563263e+00,0
54,41,-1.17765416e-04,-6.59101830e-05,-2.77024008e-04,3.08147929e-04,-2.63135292e+00,0
