x,y,z,winding,filament_id,J_mag
24,17,0,-6.283185,0,1.65932015e-04
24,18,0,6.283185,0,1.38156981e-04
24,32,0,6.283185,5,1.86618275e-04
24,45,0,6.283185,0,1.38157455e-04
24,46,0,-6.283185,0,1.65932040e-04
24,48,0,6.283185,0,1.46265835e-04
24,50,0,6.283185,0,1.13432953e-04
24,51,0,-6.283185,0,6.80251829e-05
24,52,0,6.283185,0,1.11183396e-04
24,53,0,-6.283185,0,2.40817032e-04
24,55,0,-6.283185,0,3.09007043e-04
24,58,0,-6.283185,0,1.90435524e-04
24,62,0,6.283185,0,2.51443801e-04
25,7,0,-6.283185,0,2.14750051e-04
25,11,0,-6.283185,0,1.35439739e-04
25,20,0,-6.283185,0,1.10653260e-04
25,21,0,6.283185,0,1.30902934e-04
25,24,0,-6.283185,0,1.03996120e-04
25,26,0,6.283185,0,1.33195950e-04
25,37,0,6.283185,0,1.33195983e-04
25,39,0,-6.283185,0,1.03996327e-04
25,42,0,6.283185,0,1.30903084e-04
25,43,0,-6.283185,0,1.10653358e-04
25,52,0,-6.283185,0,1.35440102e-04
25,56,0,-6.283185,0,2.14749597e-04
26,0,0,-6.283185,0,3.65776312e-04
26,2,0,-6.283185,0,3.56250004e-04
26,4,0,-6.283185,0,2.43153222e-04
26,8,0,6.283185,0,1.37564326e-04
26,11,0,6.283185,0,1.60204761e-04
26,20,0,6.283185,0,1.02595749e-04
26,24,0,6.283185,0,1.08096924e-04
26,25,0,-6.283185,0,9.09202451e-05
26,38,0,-6.283185,0,9.09209025e-05
26,39,0,6.283185,0,1.08097185e-04
26,43,0,6.283185,0,1.02595766e-04
26,52,0,6.283185,0,1.60204805e-04
26,55,0,6.283185,0,1.37563689e-04
26,59,0,-6.283185,0,2.43152522e-04
26,61,0,-6.283185,0,3.56250209e-04
27,6,0,6.283185,0,1.45700072e-04
27,21,0,-6.283185,0,1.33693035e-04
27,42,0,-6.283185,0,1.33693124e-04
27,57,0,6.283185,0,1.45698357e-04
28,1,0,6.283185,0,1.96875750e-04
28,3,0,6.283185,0,2.41840177e-04
28,5,0,6.283185,0,2.27144633e-04
28,9,0,6.283185,0,1.39137900e-04
28,10,0,-6.283185,0,2.10922430e-04
28,12,0,-6.283185,0,2.47011572e-04
28,13,0,6.283185,0,1.71732642e-04
28,14,0,-6.283185,0,1.28852673e-04
28,17,0,-6.283185,0,1.05420932e-04
28,24,0,6.283185,0,1.31251423e-04
28,39,0,6.283185,0,1.31250940e-04
28,46,0,-6.283185,0,1.05420877e-04
28,49,0,-6.283185,0,1.28852300e-04
28,50,0,6.283185,0,1.71732173e-04
28,51,0,-6.283185,0,2.47011382e-04
28,53,0,-6.283185,0,2.10922310e-04
28,54,0,6.283185,0,1.39137918e-04
28,58,0,6.283185,0,2.27144999e-04
28,60,0,6.283185,0,2.41839661e-04
28,62,0,6.283185,0,1.96877156e-04
29,0,0,6.283185,0,1.80535112e-04
29,2,0,-6.283185,0,2.37871069e-04
29,20,0,6.283185,6,1.16497628e-04
29,22,0,-6.283185,0,9.60348937e-05
29,24,0,-6.283185,0,1.02862216e-04
29,31,0,6.283185,0,7.80183611e-05
29,39,0,-6.283185,0,1.02862162e-04
29,41,0,-6.283185,0,9.60348442e-05
29,43,0,6.283185,7,1.16497557e-04
29,61,0,-6.283185,0,2.37871846e-04
30,0,0,-6.283185,0,2.32613659e-04
30,4,0,-6.283185,0,2.82608049e-04
30,6,0,-6.283185,0,2.60146675e-04
30,7,0,-6.283185,0,2.43904461e-04
30,9,0,-6.283185,0,2.05549024e-04
30,20,0,-6.283185,6,1.52935479e-04
30,22,0,6.283185,0,1.16398146e-04
30,29,0,-6.283185,0,1.10784078e-04
30,32,0,6.283185,0,1.12465050e-04
30,34,0,-6.283185,0,1.10783411e-04
30,41,0,6.283185,0,1.16397998e-04
30,43,0,-6.283185,7,1.52935368e-04
30,54,0,-6.283185,0,2.05549099e-04
30,56,0,-6.283185,0,2.43904248e-04
30,57,0,-6.283185,0,2.60146219e-04
30,59,0,-6.283185,0,2.82608296e-04
31,0,0,6.283185,0,1.71454232e-04
31,5,0,6.283185,0,2.02109711e-04
31,7,0,6.283185,0,2.34783245e-04
31,15,0,6.283185,0,1.62590478e-04
31,32,0,6.283185,0,8.68938098e-05
31,48,0,6.283185,0,1.62590605e-04
31,56,0,6.283185,0,2.34783966e-04
31,58,0,6.283185,0,2.02108542e-04
32,1,0,6.283185,0,1.63179050e-04
32,3,0,6.283185,0,1.40449290e-04
32,8,0,6.283185,0,2.18205778e-04
32,10,0,6.283185,0,1.26484343e-04
32,11,0,6.283185,0,1.43437661e-04
32,21,0,6.283185,0,1.05797514e-04
32,27,0,6.283185,0,1.89492684e-04
32,30,0,-6.283185,0,9.33106634e-05
32,33,0,-6.283185,0,9.33104404e-05
32,36,0,6.283185,0,1.89492455e-04
32,42,0,6.283185,0,1.05797374e-04
32,52,0,6.283185,0,1.43437717e-04
32,53,0,6.283185,0,1.26484350e-04
32,55,0,6.283185,0,2.18205487e-04
32,60,0,6.283185,0,1.40449143e-04
32,62,0,6.283185,0,1.63178802e-04
33,0,0,-6.283185,0,2.32614423e-04
33,4,0,-6.283185,0,2.82607692e-04
33,6,0,-6.283185,0,2.60147136e-04
33,7,0,-6.283185,0,2.43905091e-04
33,9,0,-6.283185,0,2.05548607e-04
33,20,0,-6.283185,0,1.52936964e-04
33,22,0,6.283185,0,1.16397151e-04
33,29,0,-6.283185,0,1.10782921e-04
33,31,0,6.283185,0,1.12463878e-04
33,34,0,-6.283185,0,1.10781482e-04
33,41,0,6.283185,0,1.16397196e-04
33,43,0,-6.283185,0,1.52936840e-04
33,54,0,-6.283185,0,2.05548936e-04
33,56,0,-6.283185,0,2.43904677e-04
33,57,0,-6.283185,0,2.60146779e-04
33,59,0,-6.283185,0,2.82608065e-04
