x,z,density,Jx,Jy,Jz,state
3,46,5.18565094e-04,0.00000000e+00,0.00000000e+00,-5.18565094e-04,0
3,47,4.18285774e-04,0.00000000e+00,0.00000000e+00,-4.18285774e-04,0
3,48,1.41466955e-03,0.00000000e+00,0.00000000e+00,-1.41466955e-03,0
3,49,6.18805602e-04,0.00000000e+00,0.00000000e+00,-6.18805602e-04,0
3,50,4.93411176e-04,0.00000000e+00,0.00000000e+00,-4.93411176e-04,0
3,51,1.43217822e-03,0.00000000e+00,0.00000000e+00,-1.43217822e-03,0
3,52,3.44384811e-04,0.00000000e+00,0.00000000e+00,3.44384811e-04,0
3,53,3.63281761e-04,0.00000000e+00,0.00000000e+00,3.63281761e-04,0
3,54,1.48635196e-03,0.00000000e+00,0.00000000e+00,1.48635196e-03,0
3,55,1.01401126e-03,0.00000000e+00,0.00000000e+00,1.01401126e-03,0
3,56,1.09837219e-04,0.00000000e+00,0.00000000e+00,1.09837219e-04,0
3,57,2.72363022e-03,0.00000000e+00,0.00000000e+00,2.72363022e-03,0
3,58,6.44936255e-04,0.00000000e+00,0.00000000e+00,6.44936255e-04,0
3,59,1.16083678e-03,0.00000000e+00,0.00000000e+00,-1.16083678e-03,0
3,60,1.32979960e-05,0.00000000e+00,0.00000000e+00,1.32979960e-05,0
3,61,1.91454345e-03,0.00000000e+00,0.00000000e+00,-1.91454345e-03,0
3,62,1.31758422e-03,0.00000000e+00,0.00000000e+00,-1.31758422e-03,0
3,63,9.58049649e-04,0.00000000e+00,0.00000000e+00,9.58049649e-04,0
4,0,5.67863747e-03,0.00000000e+00,0.00000000e+00,-5.67863747e-03,0
4,1,1.28684240e-03,0.00000000e+00,0.00000000e+00,-1.28684240e-03,0
4,2,2.19372281e-03,0.00000000e+00,0.00000000e+00,2.19372281e-03,0
4,3,3.12279915e-04,0.00000000e+00,0.00000000e+00,3.12279915e-04,0
4,4,4.32978784e-04,0.00000000e+00,0.00000000e+00,4.32978784e-04,0
4,5,8.64875167e-04,0.00000000e+00,0.00000000e+00,8.64875167e-04,0
4,6,5.04311088e-04,0.00000000e+00,0.00000000e+00,-5.04311088e-04,0
4,7,1.67678023e-04,0.00000000e+00,0.00000000e+00,1.67678023e-04,0
4,8,2.05070976e-03,0.00000000e+00,0.00000000e+00,2.05070976e-03,0
4,9,4.14759327e-04,0.00000000e+00,0.00000000e+00,4.14759327e-04,0
4,10,1.53727074e-04,0.00000000e+00,0.00000000e+00,-1.53727074e-04,0
4,11,1.54135502e-03,0.00000000e+00,0.00000000e+00,1.54135502e-03,0
4,12,1.17904048e-04,0.00000000e+00,0.00000000e+00,1.17904048e-04,0
4,13,2.50543397e-04,0.00000000e+00,0.00000000e+00,-2.50543397e-04,0
4,14,1.34851560e-03,0.00000000e+00,0.00000000e+00,-1.34851560e-03,0
4,15,1.67932662e-03,0.00000000e+00,0.00000000e+00,-1.67932662e-03,0
4,16,2.04394977e-04,0.00000000e+00,0.00000000e+00,-2.04394977e-04,0
4,17,9.70312933e-04,0.00000000e+00,0.00000000e+00,-9.70312933e-04,0
4,18,3.09994032e-04,0.00000000e+00,0.00000000e+00,3.09994032e-04,0
4,19,4.38865958e-04,0.00000000e+00,0.00000000e+00,-4.38865958e-04,0
4,20,1.38724951e-04,0.00000000e+00,0.00000000e+00,1.38724951e-04,0
4,21,9.36862096e-05,0.00000000e+00,0.00000000e+00,-9.36862096e-05,0
4,22,1.85770255e-05,0.00000000e+00,0.00000000e+00,-1.85770255e-05,0
4,23,1.36936419e-03,0.00000000e+00,0.00000000e+00,1.36936419e-03,0
4,24,9.52064531e-04,0.00000000e+00,0.00000000e+00,9.52064531e-04,0
4,25,1.67785022e-03,0.00000000e+00,0.00000000e+00,1.67785022e-03,0
4,26,2.83488277e-04,0.00000000e+00,0.00000000e+00,2.83488277e-04,0
4,27,1.49101031e-03,0.00000000e+00,0.00000000e+00,1.49101031e-03,0
4,28,5.95121057e-04,0.00000000e+00,0.00000000e+00,5.95121057e-04,0
4,29,1.66070916e-03,0.00000000e+00,0.00000000e+00,1.66070916e-03,0
4,30,3.66874969e-04,0.00000000e+00,0.00000000e+00,3.66874969e-04,0
4,31,1.22238266e-03,0.00000000e+00,0.00000000e+00,1.22238266e-03,0
4,32,1.27017912e-04,0.00000000e+00,0.00000000e+00,1.27017912e-04,0
4,33,1.22238266e-03,0.00000000e+00,0.00000000e+00,1.22238266e-03,0
4,34,3.66874969e-04,0.00000000e+00,0.00000000e+00,3.66874969e-04,0
4,35,1.66070916e-03,0.00000000e+00,0.00000000e+00,1.66070916e-03,0
4,36,5.95121057e-04,0.00000000e+00,0.00000000e+00,5.95121057e-04,0
4,37,1.49101031e-03,0.00000000e+00,0.00000000e+00,1.49101031e-03,0
4,38,2.83488277e-04,0.00000000e+00,0.00000000e+00,2.83488277e-04,0
4,39,1.67785022e-03,0.00000000e+00,0.00000000e+00,1.67785022e-03,0
4,40,9.52064531e-04,0.00000000e+00,0.00000000e+00,9.52064531e-04,0
