seed,tick,idx,dx,dy,dz,shell,jmag
3759153152,55,14766,-2,-3,-2,outer,1.6893743377228796
3759153152,56,11758,-5,-1,-2,outer,1.7021174184956813
3759153152,56,11761,-5,-1,1,outer,1.8833665253826029
3759153152,56,12850,-4,1,2,outer,1.6775745615584723
3759153152,56,12881,-4,2,1,outer,1.9126199143722813
3759153152,56,13742,-3,-3,-2,outer,1.7632222586938955
3759153152,56,13874,-3,1,2,outer,1.5434350555382879
3759153152,56,14767,-2,-3,-1,outer,2.226770183806556
3759153152,56,14835,-2,-1,3,outer,1.9147953160805844
3759153152,56,14893,-2,1,-3,outer,1.666090344516125
3759153152,56,15891,-1,0,3,outer,1.6431711147209882
3759153152,56,15954,-1,2,2,outer,1.6251458686862463
3759153152,57,12753,-4,-2,1,outer,1.675686980093303
3759153152,57,13810,-3,-1,2,outer,1.9290299195598053
3759153152,57,16877,0,-1,-3,outer,1.730388120583735
3759153152,58,11726,-5,-2,-2,outer,1.6565838412244807
3759153152,58,14860,-2,0,-4,outer,2.151937314979683
3759153152,58,14930,-2,2,2,outer,2.152134735136007
3759153152,59,11757,-5,-1,-3,outer,1.662026617360909
3759153152,59,12718,-4,-3,-2,outer,1.565321302754615
3759153152,59,13774,-3,-2,-2,outer,1.9428195772504964
3759153152,60,12819,-4,0,3,outer,1.593610809332889
3759153152,60,13836,-3,0,-4,outer,1.9939895634308051
3759153153,1,15856,-1,-1,0,FCC,3.4032599999999995
3759153153,1,15887,-1,0,-1,FCC,3.4032599999999995
3759153153,1,15888,-1,0,0,SC,6.806519999999999
3759153153,1,15889,-1,0,1,FCC,3.4032599999999995
3759153153,1,15920,-1,1,0,FCC,3.4032599999999995
3759153153,1,16879,0,-1,-1,FCC,3.4032599999999995
3759153153,1,16880,0,-1,0,SC,6.806519999999999
3759153153,1,16881,0,-1,1,FCC,3.4032599999999995
3759153153,1,16911,0,0,-1,SC,6.806519999999999
3759153153,1,16912,0,0,0,center,20.419559999999997
3759153153,1,16913,0,0,1,SC,6.806519999999999
3759153153,1,16943,0,1,-1,FCC,3.4032599999999995
3759153153,1,16944,0,1,0,SC,6.806519999999999
3759153153,1,16945,0,1,1,FCC,3.4032599999999995
3759153153,1,17904,1,-1,0,FCC,3.4032599999999995
3759153153,1,17935,1,0,-1,FCC,3.4032599999999995
3759153153,1,17936,1,0,0,SC,6.806519999999999
3759153153,1,17937,1,0,1,FCC,3.4032599999999995
3759153153,1,17968,1,1,0,FCC,3.4032599999999995
3759153153,2,15919,-1,1,-1,BCC,1.575133628946308
3759153153,3,14864,-2,0,0,SC2,3.6262188785084266
3759153153,3,15921,-1,1,1,BCC,2.374565354351975
3759153153,3,17905,1,-1,1,BCC,2.005741044597993
3759153153,3,17967,1,1,-1,BCC,2.0365436491076627
3759153153,3,18960,2,0,0,SC2,3.3559447700724974
3759153153,5,15855,-1,-1,-1,BCC,4.587764621405324
3759153153,5,15857,-1,-1,1,BCC,4.467680380302166
3759153153,5,16848,0,-2,0,SC2,2.5098715212779013
3759153153,5,16910,0,0,-2,SC2,2.6385955366560014
3759153153,5,16914,0,0,2,SC2,2.5689563561894975
3759153153,5,16976,0,2,0,SC2,2.6970019017780076
3759153153,5,17903,1,-1,-1,BCC,5.022557729385088
3759153153,5,17969,1,1,1,BCC,4.9594368149648425
3759153153,6,15886,-1,0,-2,outer,1.9638056741855152
3759153153,6,16847,0,-2,-1,outer,1.8004073604157222
3759153153,6,16849,0,-2,1,outer,1.754552993053485
3759153153,6,16878,0,-1,-2,outer,1.8433659295199274
3759153153,6,16942,0,1,-2,outer,1.941135446237162
3759153153,6,16946,0,1,2,outer,1.9714279856404935
3759153153,6,16975,0,2,-1,outer,1.9723209309077219
3759153153,6,17871,1,-2,-1,outer,1.5953268584549336
3759153153,6,17872,1,-2,0,outer,1.900121264945825
3759153153,6,18959,2,0,-1,outer,1.609228739772574
3759153153,7,15951,-1,2,-1,outer,1.6050005718189908
3759153153,7,18991,2,1,-1,outer,1.571802692538673
3759153153,8,17938,1,0,2,outer,2.2497084748522482
3759153153,9,14831,-2,-1,-1,outer,1.9698517285551307
3759153153,9,14832,-2,-1,0,outer,2.471455802300404
3759153153,9,14863,-2,0,-1,outer,2.6666829719500043
3759153153,9,14895,-2,1,-1,outer,2.6209370233105607
3759153153,9,14896,-2,1,0,outer,2.899589932664627
3759153153,9,14897,-2,1,1,outer,2.40824249492156
3759153153,9,15823,-1,-2,-1,outer,1.8870944669413943
