backend_label,actual_backend,L,profile,arm,seed,dx,dy,dz,n,tick,source_real,source_imag,source_abs,div_real,div_imag,div_abs,occupancy,global_charge,removed_since_last,cumulative_removed,history_evaporation,history_other,history_required,history_enabled,toggles_valid,event_valid,source_valid,field_valid,execution_valid
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,4,0.021000943331028199,-0.43346730772723868,0.43397574412528367,0.00023125935910439999,-0.0047141899648490302,0.0047198588872821908,184030,-4,14315,78114,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,5,0.019083851457159812,-0.39868362943195484,0.3991401129471645,0.00033551453759122482,-0.006844806875033021,0.0068530249643084162,171661,15,12369,90483,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,6,0.017991865520858321,-0.36733585377989075,0.36777620463689864,0.00045435485263147906,-0.0092806520853646428,0.0092917674024747769,160781,121,10880,101363,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,7,0.01686309682815126,-0.33987288646223346,0.34029096812405385,0.00058650260758236,-0.01198817883392473,0.012002517113625034,151513,157,9268,110631,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,8,0.01576652739989555,-0.31623055376640158,0.31662335119453311,0.00073060719872695707,-0.01493615649053902,0.014954014764895163,143687,87,7826,118457,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,9,0.015038165284185324,-0.29458839612761267,0.29497198095438443,0.00088530606480092633,-0.018095718145145642,0.018117361342561079,136681,145,7006,125463,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,10,0.014160532077453925,-0.27613701641651889,0.27649985986277359,0.0010495048243193401,-0.021438959216809324,0.0214646321346601,130808,264,5873,131336,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,11,0.013431382551178803,-0.2596418191519847,0.25998899263197284,0.0012219560919789478,-0.024940004165428402,0.024969921595037307,125690,146,5118,136454,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,12,0.012474024022468652,-0.24540767646024192,0.24572449804797222,0.001401507851619771,-0.02857407631908811,0.028608426411587614,121362,74,4328,140782,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,13,0.011960119478129989,-0.23298250922893396,0.23328929264872283,0.0015867980010942015,-0.032317827621564967,0.032356759882186351,117637,95,3725,144507,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,14,0.011560549762692982,-0.22173094199559557,0.22203210792376374,0.0017768099615788563,-0.036149042560556857,0.036192683399887841,114316,130,3321,147828,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,15,0.011083558613195488,-0.21176150054949255,0.21205135789828103,0.0019706058314649735,-0.040046188028145129,0.040094643818452333,111416,118,2900,150728,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,3,1,0,0,1,16,0.01065449317405355,-0.20345519146512786,0.20373397644700256,0.0021671720219991974,-0.043988571513568733,0.044041923872343347,109032,90,2384,153112,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,0,0.031250000000000007,-0.63610836328225195,0.63687550772315416,0,0,0,262144,0,0,0,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,1,0.027801934184078791,-0.57271487548106159,0.57338928847831094,2.5647010037551834e-05,-0.00052205688249716748,0.00052268648125480311,236504,198,25640,25640,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,2,0.02503807943130067,-0.51902227181870253,0.51962585007431572,7.4028856022181731e-05,-0.0015124674403970131,0.00151427805563742,215608,262,20896,46536,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,3,0.022462515845554577,-0.47332738106372513,0.4738600788025476,0.00014272191587337736,-0.0029239865234933177,0.0029274676317324337,198450,296,17158,63694,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,4,0.020160829706272081,-0.43398721733101614,0.4344552495495525,0.00022939189618756696,-0.0047145809040274964,0.0047201582327986904,184087,237,14363,78057,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,5,0.018223180429960843,-0.39896794185901019,0.39938390420270747,0.0003318715667744778,-0.0068462158053856602,0.00685425485306359,171693,217,12394,90451,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,6,0.016620548638689475,-0.36796735198717762,0.36834252369975762,0.00044824171208379931,-0.0092833078204057635,0.0092941231281309499,160952,200,10741,101192,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,7,0.015363396173095747,-0.34072793778576266,0.34107412908297524,0.00057681347590789818,-0.011992591121568476,0.01200645474713964,151728,186,9224,110416,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,8,0.014352730829742005,-0.31725098987379241,0.31757548938507857,0.00071614236899581428,-0.014943012910853913,0.014960163593578036,143953,181,7775,118191,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,9,0.013239798076409681,-0.29606225259363728,0.29635814425104429,0.00086495166279786074,-0.018105834164096352,0.018126482619546889,137098,128,6855,125046,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,10,0.012445768918569064,-0.27705453908503719,0.27733394092969726,0.0010218502636453032,-0.021453511960502162,0.021477834001610154,131077,143,6021,131067,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,11,0.011499917108709418,-0.26027615194185072,0.26053008149379708,0.0011856828352784809,-0.024959699931723069,0.024987846335119211,125863,129,5214,136281,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,12,0.010714976787870766,-0.24600074337907693,0.24623398723698375,0.0013551471806216102,-0.028599372480647495,0.028631460496592973,121493,135,4370,140651,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,13,0.010198301391125163,-0.23300538058761747,0.23322845609840298,0.0015290550843334364,-0.032349129705683669,0.032385246674466933,117600,166,3893,144544,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,14,0.0097425145991922764,-0.22184585607994114,0.22205967767822557,0.0017064242326230419,-0.036186268852465467,0.03622648115846467,114302,214,3298,147842,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,15,0.0092905568062828826,-0.2120952328459742,0.21229861573208333,0.001886311172014701,-0.040089313335146905,0.040133666833735177,111457,203,2845,150687,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,4,1,0,0,1,16,0.0089603858231053213,-0.20388898505230857,0.20408578279674314,0.0020677675089406013,-0.044037731291110015,0.044086250007672918,109097,245,2360,153047,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,5,1,0,0,1,0,0.031250000000000007,-0.63610836328225195,0.63687550772315416,0,0,0,262144,0,0,0,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,5,1,0,0,1,1,0.028403574054859583,-0.57260099637841377,0.57330503579913028,2.5647010037551834e-05,-0.00052205688249716748,0.00052268648125480311,236446,166,25698,25698,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,5,1,0,0,1,2,0.026281680279374327,-0.51802917357394329,0.51869543220661773,7.4522624463938813e-05,-0.0015123739793253886,0.0015142089270960941,215406,-46,21040,46738,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,5,1,0,0,1,3,0.023333204491122327,-0.47234118889835808,0.47291715676399276,0.00014472849626008478,-0.0029229848613562797,0.0029265657069930439,198233,-3,17173,63911,0,0,0,0,1,1,1,1,1
wsl2_cuda,gpu,64,infrared,coupled,5,1,0,0,1,4,0.021311424987625067,-0.43267882325155582,0.43320334823885454,0.00023361942496438355,-0.0047118648841712558,0.0047176528827804712,183790,44,14443,78354,0,0,0,0,1,1,1,1,1
